"report-def-0-rfile"
"Iteration" "report-def-0"
("Iteration" "report-def-0")
1 0
2 0
3 0
4 0
5 -2.566039030607264e-05
6 -0.4674513786250246
7 -2.032502357540283
8 -6.729863714279662
9 -15.371832499099
10 -27.83500908243025
11 -43.823236350681
12 -63.14087851058412
13 -83.40591530265483
14 -102.793500465537
15 -121.4701523657297
16 -137.4903938767251
17 -151.6189508999125
18 -161.930778095107
19 -167.4596849026817
20 -167.8318752495803
21 -164.23543069776
22 -156.7809606690058
23 -147.3641565887011
24 -135.8559453115094
25 -122.3594966821849
26 -107.5852503433203
27 -92.20737680471625
28 -76.45235314021609
29 -60.88396486157377
30 -45.99062986116156
31 -31.89125921560619
32 -19.87291185273139
33 -8.972583138340003
34 -4.577515477322704
35 -2.763631241537142
36 -1.845195605440897
37 -1.450689392682727
38 -1.367234579995048
39 -1.60883819351539
40 -2.221347189004504
41 -3.043711744891108
42 -4.051442836096275
43 -5.138119158890087
44 -6.267374096861343
45 -7.319923541818022
46 -8.290416117437609
47 -9.14749599176875
48 -9.794795676786361
49 -10.34190425061385
50 -10.69250792419867
51 -10.82006840575092
52 -10.76198615702033
53 -10.5582317608991
54 -10.22677870377254
55 -9.836226286830444
56 -9.412710394937918
57 -8.928756553854019
58 -8.429140441263831
59 -7.964379056837831
60 -7.465836846237689
61 -6.982017278442397
62 -6.531407673994114
63 -6.082721433225037
64 -5.639710564703967
65 -5.206437284752085
66 -4.744171957491959
67 -4.293996562754726
68 -3.822982582622928
69 -3.348624227775254
70 -2.908721442630601
71 -2.52237027245236
72 -2.160084365356895
73 -1.85266448486448
74 -1.574769404882598
75 -1.337390011700345
76 -1.136948005585497
77 -0.9693911897213451
78 -0.830861772647161
79 -0.7160070965352733
80 -0.6241761783109262
81 -0.5351401245586304
82 -0.4694217507745155
83 -0.4166961197740338
84 -0.3710881248860998
85 -0.3447453756052574
86 -0.3268721943462964
87 -0.3057047639485616
88 -0.2951311008252034
89 -0.2894086098207835
90 -0.2864030063156661
91 -0.283783593208997
92 -0.2817413321672796
93 -0.2848297125948737
94 -0.2851262081355754
95 -0.2852234945493526
96 -0.2882131241053134
97 -0.2890010555468644
98 -0.2889084627834862
99 -0.2884061061050649
100 -0.2870775902914731
101 -0.2930888066415145
102 -0.2935522135607174
103 -0.2939115725395839
104 -0.2885545275564862
